algoritmo,tipo_entrada,n,repeticoes,tempo_medio,tempo_minimo,tempo_maximo,desvio_tempo,comparacoes,trocas,movimentacoes
Merge Sort,aleatoria,100,3,0.006160999997518957,0.00030899999546818435,0.01785309999831952,0.008267564624243348,540.0,0.0,1344.0
Merge Sort,aleatoria,500,3,0.005453866673633456,0.001923300005728379,0.012383699999190867,0.004900425312370186,3849.0,0.0,8976.0
Merge Sort,aleatoria,1000,3,0.004972133329526211,0.004633200005628169,0.005258299992419779,0.0002579092072246727,8706.666666666666,0.0,19952.0
Merge Sort,aleatoria,5000,3,0.028304766669558983,0.026224100001854822,0.03156900001340546,0.00233703681200852,55201.0,0.0,123616.0
Merge Sort,aleatoria,10000,3,0.1051148999928652,0.05678839999018237,0.20084289999795146,0.06769097130824502,120366.66666666667,0.0,267232.0
Merge Sort,aleatoria,50000,3,0.33072620000651415,0.32709010000689887,0.33259229999384843,0.0025714102754070063,718184.6666666666,0.0,1568928.0
Merge Sort,aleatoria,100000,3,0.7000574000024548,0.6967287000152282,0.7042518999951426,0.0031317558143995994,1536438.6666666667,0.0,3337856.0
Merge Sort,ordenada,100,3,0.0003473333490546793,0.0002853000187315047,0.0003836000105366111,4.407314386034274e-05,356.0,0.0,1344.0
Merge Sort,ordenada,500,3,0.0017414333318204929,0.0016928999975789338,0.0018385000003036112,6.863649951159943e-05,2272.0,0.0,8976.0
Merge Sort,ordenada,1000,3,0.0038545666611753404,0.0036530999932438135,0.004029599978821352,0.00015483776733613637,5044.0,0.0,19952.0
Merge Sort,ordenada,5000,3,0.02240403333174375,0.022342300013406202,0.022518299985677004,8.088597353245179e-05,32004.0,0.0,123616.0
Merge Sort,ordenada,10000,3,0.04731759999413043,0.04642920001060702,0.04821739997714758,0.0007300740830332485,69008.0,0.0,267232.0
Merge Sort,ordenada,50000,3,0.2728896000092694,0.26969640000606887,0.278055900009349,0.0036869276075049474,401952.0,0.0,1568928.0
Merge Sort,ordenada,100000,3,0.5671495333469162,0.5648035000194795,0.5711848000064492,0.0028659354864364567,853904.0,0.0,3337856.0
Merge Sort,inversa,100,3,0.0002744999947026372,0.0002662999904714525,0.0002818999928422272,6.393748290425885e-06,316.0,0.0,1344.0
Merge Sort,inversa,500,3,0.0016728666669223458,0.001653299987083301,0.0017108999891206622,2.6897369371928548e-05,2216.0,0.0,8976.0
Merge Sort,inversa,1000,3,0.0037845333378451564,0.003704200003994629,0.0039329999999608845,0.00010509986474431444,4932.0,0.0,19952.0
Merge Sort,inversa,5000,3,0.022374599997419864,0.021801199996843934,0.023226699995575473,0.0006144199584888113,29804.0,0.0,123616.0
Merge Sort,inversa,10000,3,0.04678370001298996,0.0462079000135418,0.047230100026354194,0.0004272247525969627,64608.0,0.0,267232.0
Merge Sort,inversa,50000,3,0.2612716333339146,0.260053500009235,0.2620671000040602,0.0008746929215182679,382512.0,0.0,1568928.0
Merge Sort,inversa,100000,3,0.5547901666626179,0.5520659000030719,0.5566383999830578,0.0019668104170902086,815024.0,0.0,3337856.0
Merge Sort,parcialmente_ordenada,100,3,0.00030466666794382036,0.00030079999123699963,0.0003115000145044178,4.845855411022427e-06,494.3333333333333,0.0,1344.0
Merge Sort,parcialmente_ordenada,500,3,0.0018989666811345767,0.0018896000110544264,0.0019091000140178949,7.979279741269074e-06,3542.0,0.0,8976.0
Merge Sort,parcialmente_ordenada,1000,3,0.004283966651807229,0.004105899977730587,0.004386799992062151,0.00012641530867558696,8091.666666666667,0.0,19952.0
Merge Sort,parcialmente_ordenada,5000,3,0.02596939999299745,0.025649799994425848,0.026521399995544925,0.0003919429906450554,52787.0,0.0,123616.0
Merge Sort,parcialmente_ordenada,10000,3,0.05507846668479033,0.05442100000800565,0.056123800022760406,0.0007473117969123428,115475.0,0.0,267232.0
Merge Sort,parcialmente_ordenada,50000,3,0.3527960666688159,0.3185855000047013,0.4188698999932967,0.046731082033056266,692603.0,0.0,1568928.0
Merge Sort,parcialmente_ordenada,100000,3,0.6793141999999838,0.6733409000153188,0.6824292999808677,0.004225062834219765,1485630.6666666667,0.0,3337856.0
Quick Sort,aleatoria,100,3,0.0075465666692859186,0.00023940001847222447,0.0221468000090681,0.010323925606224808,727.6666666666666,343.0,686.0
Quick Sort,aleatoria,500,3,0.0017199333330305915,0.0016028000100050122,0.0019322999869473279,0.00015043182107013378,4864.0,2243.6666666666665,4487.333333333333
Quick Sort,aleatoria,1000,3,0.003980233334004879,0.003601099975639954,0.0042978000128641725,0.0002877389760252263,11274.666666666666,5388.333333333333,10776.666666666666
Quick Sort,aleatoria,5000,3,0.024344366654986516,0.023461999982828274,0.024846999993314967,0.0006259415898618388,70305.66666666667,32691.333333333332,65382.666666666664
Quick Sort,aleatoria,10000,3,0.05055323334333176,0.04991639999207109,0.050902700022561476,0.00045102227637663683,148914.66666666666,68706.33333333333,137412.66666666666
Quick Sort,aleatoria,50000,3,0.3051591000112239,0.29099500001757406,0.3151781000196934,0.010298607408884074,893295.0,430993.3333333333,861986.6666666666
Quick Sort,aleatoria,100000,3,0.6437722000021798,0.6332511999935377,0.6560731000208762,0.009401624442928318,1912179.0,895784.6666666666,1791569.3333333333
Quick Sort,ordenada,100,3,0.00018896666006185114,0.00017579999985173345,0.00020969999604858458,1.4837865351142392e-05,669.0,126.0,252.0
Quick Sort,ordenada,500,3,0.0010423666487137477,0.0010293999803252518,0.0010550999722909182,1.0493275119794863e-05,4263.0,510.0,1020.0
Quick Sort,ordenada,1000,3,0.002307433324555556,0.002270700002554804,0.002376199990976602,4.866321852153328e-05,9520.0,1022.0,2044.0
Quick Sort,ordenada,5000,3,0.014862966655831164,0.014759499987121671,0.015066799998749048,0.00014413749513407121,60678.0,5904.0,11808.0
Quick Sort,ordenada,10000,3,0.031326666668367885,0.03102650001528673,0.03153569999267347,0.00021763902369589152,131343.0,11808.0,23616.0
Quick Sort,ordenada,50000,3,0.1829945333302021,0.18237649998627603,0.18334170000161976,0.0004381242845827496,782782.0,65534.0,131068.0
Quick Sort,ordenada,100000,3,0.3827417666616384,0.38020699998014607,0.3841093000082765,0.0017942150783156546,1665551.0,131070.0,262140.0
Quick Sort,inversa,100,3,0.00037036666374964017,0.00028649999876506627,0.00043670000741258264,6.25596977126871e-05,851.0,468.0,936.0
Quick Sort,inversa,500,3,0.0023996666714083403,0.0023719000164419413,0.0024280000070575625,2.2906230331730137e-05,6843.0,3836.0,7672.0
Quick Sort,inversa,1000,3,0.005983000010019168,0.0057314000150654465,0.006209999992279336,0.0001961604020789723,15995.0,9084.0,18168.0
Quick Sort,inversa,5000,3,0.03925003333521696,0.039134299993747845,0.039404200011631474,0.00011348816631309832,108443.0,62892.0,125784.0
Quick Sort,inversa,10000,3,0.09152749999581526,0.08681479998631403,0.10057350000715815,0.006398362980500802,242135.0,140544.0,281088.0
Quick Sort,inversa,50000,3,0.5399605666655892,0.5391778000048362,0.5412943999981508,0.0009478940659899565,1504807.0,881600.0,1763200.0
Quick Sort,inversa,100000,3,1.16164839999207,1.1534433999913745,1.1723979999951553,0.007944619026106254,3259375.0,1913232.0,3826464.0
Quick Sort,parcialmente_ordenada,100,3,0.0002225333203872045,0.00020149999181739986,0.0002494999789632857,2.0040009900593655e-05,747.6666666666666,208.0,416.0
Quick Sort,parcialmente_ordenada,500,3,0.0014979000067493569,0.0014536000089719892,0.0015614000149071217,4.6055695405014225e-05,5212.0,1645.0,3290.0
Quick Sort,parcialmente_ordenada,1000,3,0.0036361666570883244,0.0033703999943099916,0.004060599982040003,0.0003032879138481562,13694.333333333334,3956.6666666666665,7913.333333333333
Quick Sort,parcialmente_ordenada,5000,3,0.022007333328171324,0.02143719999003224,0.022888899984536693,0.0006322453386079034,79165.0,25040.0,50080.0
Quick Sort,parcialmente_ordenada,10000,3,0.047633600004094966,0.04652820000774227,0.049093699984950945,0.0010769731016509192,175170.0,56657.333333333336,113314.66666666667
Quick Sort,parcialmente_ordenada,50000,3,0.2876959999945636,0.285255299997516,0.290351700008614,0.0020861434951864924,1030492.0,358125.3333333333,716250.6666666666
Quick Sort,parcialmente_ordenada,100000,3,0.6072303666636193,0.5954232000221964,0.6169796999893151,0.008919890925139699,2296615.0,734803.6666666666,1469607.3333333333
